"compound_name","filename","voltage","MS2"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",50,"55.93631, 6667; 56.14542, 7862; 56.89331, 6487; 57.07061, 26362; 58.06588, 222212; 59.14045, 6771; 67.05495, 46572; 71.8794, 7070; 74.02431, 660523; 82.35831, 6933; 84.08135, 312827; 84.08426, 15355; 85.06535, 12481; 85.0761, 6485; 86.09698, 18660; 90.71107, 8322; 95.04953, 38753; 97.18562, 6409; 102.09175, 78651; 109.09736, 7293; 113.05997, 40410; 115.35031, 6874; 116.45679, 6923; 117.23589, 6761; 130.08629, 34439; 139.97664, 8898; 148.08694, 41187; 148.09676, 22329; 148.112, 14275; 50.41428, 3088; 58.0658, 7792; 66.04945, 3894; 68.83743, 3568; 74.0242, 6085; 76.02847, 15163; 78.36465, 3341; 84.08126, 10804; 88.07632, 3791; 88.68265, 3861; 90.16364, 3379; 90.9165, 3508; 91.05462, 10194; 101.06244, 3749; 103.03914, 3876; 108.92657, 4013; 109.07634, 5773; 109.12685, 3338; 110.08418, 8618; 115.314, 3725; 122.03205, 24404; 123.09184, 3646; 123.37464, 3246; 124.07782, 4033; 132.10193, 5455; 133.05045, 3377; 133.07597, 3948; 136.16106, 3268; 144.86719, 3313; 150.02672, 49719; 150.06693, 6508; 150.07744, 157314; 150.09154, 13282; 150.10236, 20786; 150.12778, 10502; 166.35834, 3135"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",100,"54.16661, 5357; 57.07069, 25394; 58.06591, 62990; 61.03893, 4726; 63.25121, 4694; 65.0392, 13667; 65.55159, 6621; 66.12087, 4923; 67.05501, 39017; 68.75444, 5426; 72.43052, 4645; 74.02436, 68292; 80.04982, 8477; 84.08121, 20973; 126.61777, 5245; 158.29366, 5033"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",20,"52.45095, 6881; 55.13425, 6627; 57.07067, 12255; 58.06591, 133904; 58.06757, 10327; 60.18426, 7037; 61.2713, 6797; 63.13168, 6652; 66.82061, 6043; 71.04987, 8609; 74.02433, 589107; 81.77708, 6867; 84.08136, 229064; 85.06557, 10399; 86.09695, 8947; 95.04972, 22604; 102.09179, 145574; 112.07615, 8455; 112.53106, 6768; 113.06011, 49146; 129.2856, 6982; 130.08641, 148582; 137.18228, 7410; 148.08707, 29177; 148.09683, 134130; 148.11189, 15570; 148.26332, 6620"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",35,"57.07074, 10932; 57.92686, 6917; 58.0659, 150981; 65.63474, 5925; 65.78533, 6164; 66.14715, 5749; 67.05509, 16661; 74.02432, 580282; 82.10998, 6067; 84.08136, 233474; 86.09705, 15326; 95.04954, 31599; 102.0918, 179762; 113.06014, 36642; 118.48245, 7790; 130.08636, 142399; 130.59869, 7100; 146.43709, 6261; 148.08676, 20513; 148.09685, 107821; 148.1125, 15513; 154.43561, 6658; 156.78329, 6569; 162.86783, 6523"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",50,"53.22727, 3187; 57.0706, 6273; 58.06593, 46052; 63.54242, 3435; 74.02431, 115742; 80.69234, 3476; 81.15589, 3486; 84.08136, 47526; 86.09692, 3894; 95.0497, 7646; 102.09165, 10057; 112.23588, 3814; 113.06001, 6613; 121.90054, 3707; 130.08647, 8739; 148.08685, 27053; 148.11218, 12279; 58.06583, 5851; 66.04268, 4721; 71.88269, 3308; 74.02428, 6018; 76.02846, 9788; 79.72152, 2967; 80.79053, 3281; 84.08136, 5113; 91.05474, 7546; 94.03723, 4774; 94.04042, 7103; 109.07653, 8484; 121.02816, 4246; 122.03199, 20811; 150.02664, 44119; 150.07745, 146658; 150.09146, 10894; 150.10252, 15309; 150.12781, 8410"
"Hydroxyisoleucine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",100,"57.07068, 32576; 58.0659, 68711; 61.10382, 6590; 65.03925, 13683; 67.05492, 34986; 71.46496, 6805; 72.51685, 6064; 74.0243, 53695; 84.08132, 28625; 121.10344, 6692; 130.49031, 6172; 132.57074, 5886; 140.79778, 6228; 154.33458, 5774"
"5-Methylcytosine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",NA,NA
"5-Methylcytosine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",NA,NA
"5-Methylcytosine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",20,"51.8879, 43352; 52.00171, 56224; 56.05027, 97659; 70.23087, 47178; 81.04546, 117852; 83.06095, 1321524; 105.02225, 50339; 105.31805, 49702; 107.56924, 49698; 108.05604, 799087; 109.03998, 2184605; 115.49007, 67653; 126.06631, 51198468; 53.57354, 56144; 56.05017, 109418; 62.87059, 55578; 63.01077, 57993; 63.26748, 57012; 69.84511, 55111; 71.0246, 79231; 81.04527, 166825; 83.06097, 1716162; 108.05597, 1096674; 109.03997, 2621318; 115.78808, 65500; 123.98969, 63810; 124.01076, 62630; 125.99181, 82728; 126.06631, 56377268; 129.50905, 75780"
"5-Methylcytosine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",35,"50.16355, 59286; 53.73844, 62393; 56.05029, 89743; 59.03861, 64272; 59.35039, 61655; 65.51952, 55297; 69.57176, 58095; 70.55871, 61484; 71.02455, 69383; 78.01424, 61343; 81.04527, 173672; 82.02942, 86519; 83.06095, 1533341; 104.11035, 68270; 104.56567, 67714; 108.056, 1160602; 109.04001, 2639171; 126.06634, 58230292; 56.05024, 108980; 60.03013, 47520; 61.61489, 47412; 69.30453, 44835; 71.02467, 108003; 78.19396, 44564; 81.04533, 203854; 83.06097, 1245473; 84.3074, 44271; 90.72598, 41545; 108.05598, 943929; 109.03996, 2021508; 112.05257, 42085; 126.06631, 46617476; 126.1416, 68431; 131.21565, 52866"
"5-Methylcytosine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",50,"56.05021, 362784; 67.3187, 59401; 68.47757, 61080; 71.0246, 182350; 73.01333, 53852; 77.84959, 50508; 79.14773, 53830; 81.04533, 532444; 82.02936, 170370; 83.06096, 3094311; 87.25516, 52625; 103.76875, 49923; 106.14671, 59419; 108.05597, 2600760; 109.03996, 5280414; 126.06631, 43059100; 136.69975, 52085; 52.73779, 53317; 54.67028, 48868; 56.05024, 409422; 57.43233, 66622; 68.18359, 51650; 71.02464, 180158; 76.97826, 56348; 79.54227, 51937; 81.04535, 504819; 81.13944, 49272; 81.49249, 52342; 82.02926, 262393; 83.06097, 3670514; 85.33791, 53413; 100.12219, 49082; 100.49419, 63318; 108.05601, 2375824; 109.03997, 5391180; 115.97041, 63746; 126.06631, 46488468; 126.13987, 64614; 141.11926, 61898"
"5-Methylcytosine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",100,"51.29968, 52266; 54.0346, 2831802; 56.05023, 3706132; 58.07734, 53687; 60.4087, 58856; 65.20238, 48424; 66.03449, 218794; 67.04232, 63841; 69.00896, 96056; 71.02465, 574425; 75.29359, 54394; 78.43817, 49880; 81.04531, 5390811; 81.63776, 61743; 82.0293, 2502556; 83.06095, 4624944; 101.70377, 49270; 108.05598, 2837266; 109.03996, 8736325; 109.91816, 58236; 110.64231, 54203; 124.44302, 51112; 126.06635, 3096940; 139.00931, 52809; 52.62298, 54601; 54.0346, 2634867; 54.67706, 54296; 56.05024, 3525174; 62.75507, 49527; 64.14606, 54292; 66.03466, 116986; 67.04237, 141918; 69.00903, 116236; 70.64462, 45706; 71.02464, 594254; 81.04533, 5126527; 82.02933, 2410447; 83.06097, 4631272; 87.61189, 48687; 108.056, 3095775; 109.03998, 9650382; 126.06636, 3318158; 140.25821, 52109"
"5-Methylcytosine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",20,"54.67991, 70633; 56.05021, 182311; 56.88398, 65202; 59.05237, 61563; 62.48185, 63965; 66.6023, 56769; 66.87865, 66220; 71.02465, 77287; 72.65672, 66064; 81.04536, 176330; 83.05835, 99770; 83.06095, 1400540; 92.50585, 56200; 98.09552, 58043; 108.05599, 1209680; 109.03998, 2745402; 125.99298, 68909; 126.06633, 54166808; 144.99376, 73310; 53.48095, 43423; 54.0346, 43844; 56.05018, 104085; 61.59564, 42859; 62.04806, 38289; 66.981, 48599; 68.1453, 42858; 71.0245, 40370; 81.04534, 158554; 82.02943, 48019; 83.05837, 82536; 83.06099, 1109164; 84.26761, 41121; 88.28755, 38872; 106.30037, 44674; 108.05606, 729990; 109.04002, 1634055; 125.99198, 66219; 126.06635, 37885832"
"5-Methylcytosine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",35,"54.35398, 49455; 56.0502, 122205; 56.57027, 53886; 58.92279, 46576; 71.02457, 69456; 74.52959, 54961; 81.04521, 165125; 83.06094, 1414605; 85.15327, 57107; 98.08711, 51373; 108.05597, 925650; 109.03994, 2188496; 115.34318, 53231; 126.0663, 44983672; 133.56752, 51904; 50.36438, 48888; 52.56701, 48429; 56.05022, 132974; 65.91302, 44342; 69.36382, 45724; 70.93872, 43375; 73.48151, 48910; 81.04533, 160980; 83.06097, 1287659; 108.05602, 996255; 109.03999, 2400977; 126.06635, 46654368; 126.14235, 77376; 131.41214, 47568"
"5-Methylcytosine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",50,"53.40063, 49341; 54.03456, 82015; 56.05027, 343129; 66.64847, 41451; 69.69872, 45460; 69.85004, 43156; 71.02466, 157763; 72.89065, 44498; 80.1902, 45560; 81.04533, 473770; 82.02928, 162541; 83.06096, 3075412; 86.21456, 49719; 99.5524, 45870; 102.67782, 46762; 108.056, 2579834; 109.03387, 76390; 109.03999, 5179686; 126.06632, 39561660; 54.03462, 49470; 56.05025, 364044; 57.09473, 44525; 57.91847, 37994; 59.36425, 41670; 65.57812, 48432; 67.08455, 46384; 71.02465, 107834; 71.21355, 45239; 72.32275, 47147; 81.04534, 459266; 82.0293, 110552; 83.06096, 2737440; 101.58105, 52390; 108.05598, 2166078; 109.03999, 4315456; 119.94276, 50643; 126.06634, 35462292"
"5-Methylcytosine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",100,"50.26342, 48953; 51.6004, 50359; 54.03462, 2664221; 56.05025, 3782614; 63.67369, 41500; 66.03468, 128868; 67.04233, 107713; 69.00908, 139606; 71.02467, 601607; 71.02671, 62165; 78.33721, 46643; 79.51323, 45961; 81.04535, 5050218; 82.02934, 2356543; 83.06098, 4246803; 93.48037, 41017; 102.67491, 46989; 107.12598, 55889; 108.05179, 102310; 108.05601, 2541125; 109.04, 8181142; 112.5994, 41214; 118.55626, 48590; 119.6814, 39816; 124.16265, 40949; 125.94612, 41765; 126.06635, 2610903; 138.41017, 44933; 51.14465, 48310; 52.01916, 46400; 54.03461, 2814544; 55.30412, 46077; 55.87207, 45790; 56.05025, 3741970; 60.26209, 50725; 65.51214, 44438; 66.03455, 155692; 67.04238, 73556; 67.13054, 49832; 69.00895, 118105; 69.37955, 46881; 71.02467, 629567; 73.70182, 51056; 80.50756, 53951; 81.04535, 5119062; 82.02934, 2226713; 83.06097, 4292382; 89.06363, 54149; 94.15701, 49472; 95.94426, 47039; 108.05601, 2903446; 109.04, 8748119; 126.06636, 2929474"
"N6-Methyladenine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",NA,NA
"N6-Methyladenine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",NA,NA
"N6-Methyladenine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",20,"57.04548, 269651; 62.0132, 126938; 71.40879, 130785; 78.08944, 127066; 82.97749, 125717; 88.67445, 138206; 94.0405, 866056; 96.67075, 135526; 97.90015, 117396; 98.93656, 140134; 110.1735, 124975; 123.06668, 527249; 133.05061, 173372; 150.07739, 163756224; 150.55614, 173237; 167.26993, 149840"
"N6-Methyladenine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",35,"55.63219, 135396; 57.04545, 248201; 58.83107, 142568; 59.16491, 120675; 60.694, 139224; 83.78085, 129511; 84.35696, 131419; 87.81004, 144526; 94.04055, 859269; 96.89375, 148375; 100.33492, 130365; 109.17162, 123546; 110.3754, 117418; 119.72114, 139303; 123.06673, 537909; 133.86406, 131527; 135.05417, 178267; 148.06149, 235645; 150.07739, 157714112; 50.94479, 71082; 54.61974, 68198; 54.7903, 69365; 57.04541, 123752; 59.15849, 71894; 62.66811, 76928; 64.28696, 72294; 70.81257, 66288; 71.66901, 99640; 84.26353, 73931; 85.77163, 98311; 94.0404, 533560; 98.30225, 77690; 98.75931, 79286; 123.06668, 209797; 146.9353, 84280; 147.68541, 90718; 150.07742, 88703808"
"N6-Methyladenine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",50,"52.22927, 145219; 55.014, 150269; 57.04551, 1773152; 59.13855, 148041; 71.47678, 152461; 82.04053, 319492; 94.04049, 7632560; 96.05601, 969130; 106.04041, 533210; 106.54752, 141739; 108.04335, 288088; 109.05128, 787285; 112.05074, 564211; 119.03565, 326527; 121.05111, 501929; 123.06676, 5269890; 124.02841, 170550; 133.05095, 1866625; 135.05389, 849595; 148.06169, 1069517; 149.97974, 184815; 150.07742, 158481024; 150.17227, 191898; 151.06168, 219585; 162.89436, 142452"
"N6-Methyladenine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",100,"52.01905, 223265; 53.99821, 209390; 54.02209, 232216; 54.03463, 298998; 55.02985, 5386367; 57.0455, 4181399; 63.91339, 130205; 64.05813, 119057; 66.02197, 356918; 67.0298, 2617676; 69.04544, 3762880; 70.04074, 163512; 75.39469, 148799; 76.43896, 149150; 77.67405, 124444; 78.85928, 144473; 79.02972, 3667371; 81.03286, 1043991; 81.0453, 1464154; 82.0406, 5424797; 83.74112, 121212; 87.28573, 129270; 92.02484, 1309772; 94.04049, 13879696; 96.05612, 6939733; 98.98589, 126803; 106.04037, 5325291; 108.04343, 23009718; 109.05119, 1564613; 110.73334, 142910; 111.90437, 131784; 112.05092, 1251504; 119.03549, 4266754; 121.0512, 1567594; 122.34374, 141332; 123.06674, 13362959; 124.05066, 610323; 133.05099, 4800675; 135.05403, 3701258; 135.05974, 245264; 137.04596, 398769; 145.96852, 128673; 148.06172, 1447815; 150.07748, 8904770; 151.06126, 902002; 152.61833, 130690"
"N6-Methyladenine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",20,"57.04557, 167809; 74.89912, 115658; 81.08958, 134735; 90.60973, 108990; 94.04051, 653889; 94.04329, 115976; 100.30099, 112699; 101.82704, 110142; 108.81117, 100999; 113.72852, 137530; 123.06668, 397425; 126.27455, 120598; 137.81194, 151639; 146.94524, 151637; 147.08618, 124771; 150.07748, 134161512; 53.20493, 68899; 54.29054, 56570; 54.63206, 63134; 56.06974, 61516; 59.29869, 70485; 61.84787, 61200; 66.04182, 67159; 72.0298, 61581; 94.04046, 329033; 101.05988, 70224; 108.36876, 71377; 123.06677, 215278; 123.98179, 82549; 149.98186, 74264; 150.07742, 75103064"
"N6-Methyladenine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",35,"51.715, 120447; 56.62819, 119692; 57.04548, 198946; 72.90736, 135841; 94.04047, 934882; 111.50684, 119863; 119.87933, 124732; 121.03475, 138022; 123.06684, 546559; 138.65988, 133624; 149.9825, 174189; 150.07745, 147214816; 150.1754, 137900; 150.7291, 147470"
"N6-Methyladenine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",50,"50.28386, 104204; 54.71086, 111527; 57.04411, 173131; 57.04552, 1975708; 72.20731, 100763; 82.0405, 366206; 88.46508, 116671; 94.0405, 7652484; 96.056, 857982; 106.04049, 570329; 107.90896, 109533; 108.04346, 341924; 109.0513, 508031; 112.05087, 470932; 119.03556, 218328; 121.05118, 476732; 123.06679, 5080032; 123.07191, 244551; 124.05103, 158137; 133.05107, 1684168; 135.05386, 751074; 141.11554, 140018; 148.06195, 901613; 150.07747, 139087616; 151.06148, 300748; 152.80876, 113608"
