"compound_name","filename","voltage","MS2"
"Deoxyadenosine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",100,"53.03938, 164219; 55.02989, 98191; 57.03425, 141642; 58.56362, 77912; 65.01421, 94255; 67.02983, 544432; 67.23092, 88193; 69.03419, 629793; 71.04984, 259484; 73.02904, 502995; 74.0572, 80118; 76.72635, 76003; 82.04046, 104857; 83.96374, 76726; 92.0249, 1149117; 94.04046, 1365160; 105.9286, 86874; 109.05125, 495434; 118.7904, 78193; 119.03546, 6464329; 119.42959, 78023; 121.0388, 87247; 136.06181, 5866336; 137.04585, 2266196; 157.10864, 84856; 180.18565, 82895; 184.98755, 85832; 204.85796, 93351; 223.2674, 89734; 227.62851, 148825; 227.64008, 131277; 255.43979, 81771; 273.55069, 84506; 53.03938, 164219; 55.02989, 98191; 57.03425, 141642; 58.56362, 77912; 65.01421, 94255; 67.02983, 544432; 67.23092, 88193; 69.03419, 629793; 71.04984, 259484; 73.02904, 502995; 74.0572, 80118; 76.72635, 76003; 82.04046, 104857; 83.96374, 76726; 92.0249, 1149117; 94.04046, 1365160; 105.9286, 86874; 109.05125, 495434; 118.7904, 78193; 119.03546, 6464329; 119.42959, 78023; 121.0388, 87247; 136.06181, 5866336; 137.04585, 2266196; 157.10864, 84856; 180.18565, 82895; 184.98755, 85832; 204.85796, 93351; 223.2674, 89734; 227.62851, 148825; 227.64008, 131277; 255.43979, 81771; 273.55069, 84506"
"Dimethylglycine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",20,"51.10734, 30642; 51.4425, 26417; 56.05033, 53767; 57.03427, 28776; 57.48277, 24839; 58.04291, 27220; 58.06591, 14909862; 58.08949, 25269; 60.03011, 26997; 60.56721, 27765; 61.7751, 25608; 64.11761, 24085; 68.01687, 25797; 86.06065, 74045; 102.36292, 23451; 102.51114, 35860; 104.07108, 4272482; 111.33963, 25431; 124.61925, 31942; 57.03428, 18773; 58.06593, 4567665; 58.08858, 9094; 68.88837, 7958; 69.02943, 8941; 71.00256, 8494; 79.76815, 8519; 80.96747, 8856; 82.06559, 8136; 86.06071, 52213; 90.45976, 8163; 99.04105, 8714; 104.07109, 1463615; 109.63574, 7727; 123.57195, 7965; 123.79948, 8262"
"Dimethylglycine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",35,"50.72995, 15341; 51.76972, 15781; 53.30291, 15115; 54.35411, 14990; 56.05032, 24269; 57.03433, 36593; 58.04314, 22146; 58.06593, 7444381; 63.39822, 15251; 64.16025, 16111; 86.06075, 78250; 104.07111, 2133063; 112.58527, 16639; 50.66073, 21136; 51.57286, 27045; 55.806, 18489; 56.05028, 26549; 57.0344, 21122; 58.06592, 14197410; 60.07123, 22775; 65.20891, 24012; 73.84529, 23766; 86.06068, 63863; 93.58958, 23597; 104.07107, 4377288; 106.4514, 28921; 106.93311, 24614; 107.33253, 25244; 107.63926, 24932"
"Dimethylglycine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",50,"53.01152, 28160; 53.73783, 27629; 53.92372, 26835; 56.05033, 57267; 56.56852, 26287; 58.04301, 85525; 58.06591, 20237556; 58.08979, 94026; 72.13953, 30944; 79.43076, 29973; 86.06064, 89365; 87.20949, 38368; 98.67792, 29234; 99.33641, 31365; 104.07107, 5291400; 117.72248, 29585"
"Dimethylglycine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",100,"53.16241, 29152; 54.05188, 29080; 55.54311, 26179; 56.05028, 170151; 58.0659, 15790804; 58.72725, 32986; 59.56156, 30383; 59.74086, 31248; 72.60985, 31775; 74.0083, 29612; 92.11493, 33367; 99.43043, 34934; 104.07091, 70515; 117.28634, 30309"
"Dimethylglycine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",20,"56.05035, 34826; 58.06588, 19849508; 60.85329, 36108; 62.76133, 36860; 74.83765, 35888; 86.0214, 34087; 86.06068, 89487; 99.81701, 30314; 101.93295, 29417; 104.07103, 6532924; 105.56675, 32316; 124.40044, 33396"
"Dimethylglycine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",35,"50.02929, 23811; 52.46352, 32384; 58.04279, 46872; 58.06588, 14833101; 58.08959, 62060; 59.87302, 22526; 65.13886, 24502; 66.85765, 29214; 86.06056, 62721; 86.25967, 24464; 100.57869, 32281; 104.07101, 4427165; 108.14722, 27042; 112.60648, 24658; 124.91848, 24513; 54.27819, 8008; 56.05039, 9821; 57.0343, 17886; 58.06589, 4206354; 58.08931, 12843; 62.93005, 7715; 76.77944, 6994; 83.03036, 7383; 86.06068, 60495; 92.67221, 7607; 96.34763, 6952; 104.07103, 1363620; 104.10738, 16421; 118.41614, 7243"
"Dimethylglycine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",50,"56.05033, 35089; 57.03435, 31647; 58.04243, 46144; 58.06589, 17177876; 58.0886, 40342; 58.18122, 27567; 65.91177, 28964; 81.49165, 25039; 83.0002, 24432; 86.06075, 31733; 93.88659, 28328; 104.07104, 4216244; 104.3486, 26957; 114.32586, 26071; 122.11317, 25778; 51.21815, 12252; 53.29047, 10167; 54.41125, 10351; 56.0504, 14464; 57.03429, 35858; 58.06589, 5712372; 63.44852, 12841; 66.07272, 10734; 68.75904, 11242; 70.31965, 11049; 73.70238, 10682; 86.06056, 69299; 89.10366, 11085; 104.07101, 1471634; 107.31936, 10812; 111.11819, 11591"
"Dimethylglycine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",100,"55.92315, 30960; 56.05029, 171632; 56.07573, 30952; 56.64109, 31510; 58.04242, 29555; 58.06588, 17958168; 59.08453, 31118; 66.1688, 30794; 70.9474, 27648; 95.53381, 35480; 95.87816, 29975; 96.52995, 34736; 97.08987, 31287; 104.07095, 67549; 122.25304, 33177"
"Dimethylsulfonioacetate","210204_Std_4uMStdsMix2InH2O_pos1.mzML",20,"54.16111, 102826; 59.96713, 107270; 60.27953, 125807; 61.0114, 17091162; 62.01921, 13745805; 63.02705, 2355233; 73.43563, 121608; 75.02701, 2238974; 77.04269, 170458; 85.16134, 130139; 103.02162, 1108473; 106.00874, 323185; 120.96192, 113290; 121.032, 70821576; 136.30423, 110555"
"Dimethylsulfonioacetate","210204_Std_4uMStdsMix2InH2O_pos1.mzML",35,"54.02278, 165153; 57.0203, 156972; 61.01139, 18411044; 61.06757, 158550; 62.01921, 15543612; 63.02704, 2572830; 68.02502, 168934; 75.02693, 2583789; 77.04266, 255293; 83.99626, 152133; 84.33254, 160118; 98.07099, 154437; 102.79073, 152336; 103.02155, 840443; 106.00858, 259338; 108.89769, 159811; 109.91875, 146375; 121.03197, 77699752"
"Dimethylsulfonioacetate","210204_Std_4uMStdsMix2InH2O_pos1.mzML",50,"61.01141, 19123620; 61.76125, 108873; 62.01923, 20938650; 63.02705, 3190874; 63.32694, 125530; 63.35292, 125440; 65.86446, 133292; 70.58184, 125368; 75.02698, 1912154; 77.04267, 210818; 85.80965, 131583; 89.76931, 116980; 103.02164, 971559; 106.00874, 405241; 121.03203, 48742932; 121.10339, 126678; 122.8073, 115164; 127.14178, 132760"
"Dimethylsulfonioacetate","210204_Std_4uMStdsMix2InH2O_pos1.mzML",100,"57.13939, 124436; 59.47642, 105967; 59.96717, 468641; 60.02132, 250965; 61.01139, 10584524; 62.0192, 28265582; 63.02704, 3806713; 63.02892, 135118; 63.47746, 106528; 68.2136, 109948; 75.02691, 181372; 87.78461, 104609; 87.99833, 828077; 91.66951, 105746; 93.05705, 107018; 103.0217, 215526; 106.0087, 134162; 116.65897, 107543; 121.03201, 1167620; 132.37166, 101042"
"Dimethylsulfonioacetate","210204_Std_4uMStdsMix2InH2O_pos2.mzML",20,"61.0114, 14767725; 62.01922, 11823666; 63.02702, 2314488; 67.25598, 104687; 75.02699, 1586304; 77.04266, 257956; 84.3381, 110599; 89.99188, 108625; 90.29456, 119058; 92.14748, 122199; 96.82518, 104338; 101.37491, 119663; 103.02159, 802068; 104.72117, 96268; 121.03201, 56931060; 133.98792, 106713; 136.47543, 89781; 139.6377, 89424"
"Dimethylsulfonioacetate","210204_Std_4uMStdsMix2InH2O_pos2.mzML",35,"54.26501, 122510; 58.14169, 108350; 58.5302, 93745; 60.66303, 94869; 61.0114, 14602391; 62.01921, 12491967; 63.02704, 2177335; 68.91474, 94339; 75.02698, 1691940; 76.72509, 117157; 77.0426, 136421; 78.5546, 101858; 83.69035, 124551; 88.84363, 103670; 90.46581, 97788; 93.20184, 105603; 93.98705, 107344; 99.8342, 112973; 101.81873, 113005; 103.02159, 794530; 106.00867, 366450; 121.032, 61486288; 121.1012, 158740"
"Dimethylsulfonioacetate","210204_Std_4uMStdsMix2InH2O_pos2.mzML",50,"52.06736, 94784; 52.45101, 107070; 55.07021, 93951; 59.0247, 92664; 59.12085, 88914; 61.01139, 17916422; 62.01921, 19639980; 63.02703, 3068366; 63.47397, 103403; 64.03053, 102863; 75.02694, 1753792; 82.55913, 95141; 103.02167, 889376; 104.6176, 109444; 106.00884, 360197; 113.92329, 104994; 121.03199, 37974676; 137.78038, 98822"
"Dimethylsulfonioacetate","210204_Std_4uMStdsMix2InH2O_pos2.mzML",100,"59.35321, 117093; 59.96724, 519848; 60.02137, 315755; 61.01139, 8989055; 62.01921, 24385582; 63.02703, 3042348; 66.09878, 98675; 71.7265, 104347; 75.02695, 114739; 77.04251, 95258; 87.99831, 646432; 103.02166, 147924; 106.00873, 174259; 121.03202, 978817; 134.47023, 105027; 139.21687, 85907"
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix1InH2O_pos1.mzML",NA,NA
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix1InH2O_pos2.mzML",NA,NA
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix2InH2O_pos1.mzML",20,"53.06401, 65854; 55.01861, 462700; 61.01141, 148296; 63.02702, 10855579; 68.40318, 81077; 68.61873, 67648; 71.72829, 82751; 72.02127, 71218; 73.02906, 13051397; 78.44804, 70669; 85.25539, 67758; 91.03949, 126608; 95.25984, 75821; 99.76881, 79417; 116.77411, 80280; 135.04747, 15189149; 149.13264, 67277; 53.60925, 3410; 63.027, 79848; 64.02647, 18303; 64.03038, 61064; 65.70098, 3164; 73.02689, 6405; 73.02908, 87749; 74.03242, 88843; 91.03948, 5932; 94.04045, 3235; 100.21313, 3666; 101.86773, 3147; 105.94106, 3388; 115.60155, 3234; 119.03516, 5515; 121.10004, 4803; 128.90555, 3624; 132.43213, 3568; 136.0217, 59417; 136.05122, 192285; 136.06178, 550318; 136.08684, 17217; 136.11218, 11498; 137.04553, 9880; 137.06769, 4183"
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix2InH2O_pos1.mzML",35,"55.01862, 693414; 59.02241, 116439; 61.01137, 273141; 63.02704, 18756964; 68.82521, 118717; 73.02908, 22033020; 88.0108, 113059; 89.31132, 117717; 91.0394, 346352; 96.15636, 120070; 99.48538, 117993; 109.69956, 147643; 134.77736, 119815; 135.04753, 26453692"
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix2InH2O_pos1.mzML",50,"55.01852, 12146; 56.02199, 22765; 61.01132, 14287; 62.01469, 4460; 63.02702, 300824; 63.42444, 3868; 64.02641, 76556; 64.03036, 198634; 64.03326, 8186; 73.02906, 328679; 73.1724, 4187; 74.0324, 386183; 91.03946, 10125; 92.04279, 11892; 94.04043, 7911; 98.94175, 3578; 102.41179, 3984; 113.72704, 3481; 119.03542, 16285; 129.66937, 4187; 136.02161, 68087; 136.05115, 202434; 136.06177, 461404; 136.0748, 8993; 136.08694, 9593; 136.11195, 9052; 137.04564, 26841; 142.16248, 3671; 51.28448, 122257; 55.01862, 914475; 61.01137, 392876; 61.05718, 117300; 61.81897, 106525; 63.02703, 17644730; 65.73914, 133273; 67.42935, 141363; 68.65145, 105524; 68.74863, 106534; 71.7282, 109498; 73.02908, 22821198; 73.64854, 119891; 78.70544, 131409; 89.20264, 111743; 135.04752, 8359000"
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix2InH2O_pos1.mzML",100,"50.78625, 61379; 53.04271, 53860; 55.01862, 302432; 58.33238, 51346; 61.01137, 873080; 63.02702, 3413290; 64.04652, 48074; 73.02905, 1355831; 73.29972, 55986; 74.8193, 62480; 78.07387, 54871; 91.28236, 57904; 117.02565, 46662; 134.96632, 48746; 137.28177, 50203; 143.7301, 52735; 55.02992, 4692; 56.02197, 3560; 61.01139, 12217; 62.01474, 9709; 63.02705, 53046; 64.02637, 9338; 64.03035, 28635; 65.0141, 3783; 65.03929, 8118; 67.02974, 25092; 69.17719, 3520; 72.02486, 3225; 73.02907, 17282; 74.03241, 16654; 92.0248, 38935; 93.05756, 4680; 94.04043, 16238; 95.04992, 3526; 96.06887, 3599; 98.43659, 3764; 109.01096, 21817; 109.05115, 9953; 109.07678, 3155; 109.63182, 4261; 119.03548, 132309; 119.42121, 3418; 136.02156, 16023; 136.06184, 32949; 137.04584, 56013; 139.35907, 4122; 150.78899, 4004"
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix2InH2O_pos2.mzML",20,"55.01862, 3815; 56.02185, 5231; 61.45781, 3674; 63.02704, 118304; 64.02639, 26527; 64.0304, 65629; 64.30545, 3718; 73.02686, 7226; 73.02908, 112443; 74.03243, 107251; 75.66344, 3552; 90.30176, 3832; 91.03946, 3773; 95.20052, 3461; 100.08245, 3587; 103.96896, 4895; 109.07598, 3659; 123.96078, 3629; 136.02167, 71234; 136.05118, 226155; 136.0618, 528314; 136.0753, 10854; 136.08705, 8476; 136.11198, 6915; 137.04567, 6221; 51.02325, 50269; 53.96154, 54610; 55.0186, 245903; 61.01136, 116735; 63.02703, 7465758; 68.58195, 53189; 73.02907, 8866791; 78.92999, 51486; 88.05112, 51531; 135.04749, 9382645; 154.99745, 50364"
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix2InH2O_pos2.mzML",35,"51.29532, 3246; 56.02192, 4415; 61.01126, 3920; 63.01183, 3700; 63.02703, 72065; 64.02637, 15363; 64.0304, 50726; 64.85223, 3208; 73.02909, 78677; 73.80308, 3468; 74.0324, 80788; 77.68612, 3880; 80.26414, 3171; 97.90555, 3598; 118.28675, 3850; 119.03545, 3956; 120.81832, 4162; 136.02164, 85127; 136.05127, 144372; 136.06181, 516817; 136.0869, 13499; 136.11215, 7522; 137.04582, 8931; 55.01863, 319955; 57.35154, 57693; 61.01142, 142168; 63.02703, 9413091; 73.02907, 11215715; 74.40739, 71925; 74.85867, 63028; 80.96186, 59015; 83.22955, 56931; 95.7713, 62392; 102.20205, 79147; 106.09573, 56801; 135.04749, 12139260"
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix2InH2O_pos2.mzML",50,"51.79193, 69669; 55.01864, 652533; 55.86694, 72788; 60.38453, 75918; 61.0114, 369574; 63.02705, 12233236; 73.0291, 14812078; 89.68626, 78454; 91.0396, 154664; 125.08551, 88364; 135.04755, 5057168; 154.38431, 84041; 51.25002, 3474; 54.01676, 3223; 55.01864, 6990; 56.02197, 14161; 58.06376, 3763; 60.25451, 3531; 61.01143, 5692; 63.02705, 144899; 64.02644, 36454; 64.03042, 95072; 69.59911, 4038; 72.51399, 3325; 73.02909, 177074; 74.03243, 188462; 80.67523, 3258; 90.31927, 3509; 91.03953, 5666; 92.04272, 6767; 94.04046, 6377; 94.16453, 3815; 102.59686, 3147; 103.72452, 3842; 109.01111, 5092; 109.07645, 4434; 111.14061, 4343; 118.55864, 3612; 119.03539, 21065; 129.08617, 3670; 136.01622, 6509; 136.02165, 74770; 136.02718, 6595; 136.05124, 94467; 136.06184, 389141; 136.07486, 8415; 136.08696, 9450; 136.112, 7775; 137.04572, 16601; 147.99831, 3528; 51.456, 3182; 63.00483, 3591; 63.02704, 34338; 64.02636, 6416; 64.03033, 25546; 71.37398, 4039; 72.1079, 3592; 73.02905, 40370; 74.03241, 48729; 82.11282, 3553; 94.04044, 9687; 94.75565, 3723; 109.01131, 4258; 119.03538, 23667; 136.01628, 7129; 136.02162, 75294; 136.05103, 23378; 136.06181, 460381; 136.07471, 10319; 136.08693, 8229; 136.11227, 7916; 137.04582, 30118"
"Dimethylsulfoniopropionate","210204_Std_4uMStdsMix2InH2O_pos2.mzML",100,"50.43465, 37283; 55.01864, 251454; 58.79209, 41472; 59.96684, 42203; 61.01139, 783770; 62.01906, 54284; 62.8497, 46960; 63.02703, 2709613; 73.02687, 63765; 73.02908, 1113410; 77.10393, 41990; 77.30132, 41810; 79.46842, 44056; 89.75926, 44979; 101.12524, 44117; 124.53098, 42977; 132.35025, 43816; 141.78152, 50162; 55.01861, 5357; 55.02993, 7570; 56.02188, 3782; 56.05411, 3302; 57.64713, 3319; 58.2728, 3848; 61.01137, 8797; 62.01469, 7949; 63.02707, 37205; 64.02638, 13244; 64.03048, 25407; 65.01397, 4242; 65.03928, 15797; 67.02977, 19322; 73.0291, 10619; 74.03239, 14001; 77.65871, 4080; 80.4847, 3564; 82.04046, 5606; 91.05467, 5509; 92.02487, 52446; 94.04043, 19240; 103.21562, 3401; 109.01115, 26136; 109.05119, 9625; 112.05086, 4185; 119.03548, 124822; 136.02145, 20532; 136.0619, 27072; 137.04593, 46347; 145.19446, 3349; 145.89005, 3384; 150.00934, 3334"
"Ectoine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",NA,NA
"Ectoine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",NA,NA
"Ectoine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",20,"54.46128, 520462; 56.05034, 1428661; 60.75062, 553576; 68.05015, 6083236; 73.07471, 527106; 73.07651, 2785454; 84.04494, 750277; 88.83859, 689088; 91.12955, 568185; 97.07648, 130095408; 101.0714, 15641186; 102.05552, 682497; 106.51352, 611656; 118.35607, 540925; 125.07108, 1082517; 143.08153, 283845120"
"Ectoine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",35,"52.48731, 542270; 56.05028, 2375559; 58.96455, 670297; 63.64845, 669066; 68.05014, 5970666; 69.58303, 708916; 73.07671, 3692456; 76.12706, 677130; 84.04498, 715542; 92.70583, 578926; 97.07647, 163466384; 97.78149, 679515; 100.26878, 683257; 101.07135, 21600920; 101.42554, 553335; 124.03564, 660257; 125.0711, 1513687; 125.52308, 578098; 143.08151, 365119200; 162.91304, 649805"
"Ectoine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",50,"55.82502, 562529; 56.05024, 11307640; 56.15777, 620443; 58.61779, 523090; 61.43665, 647504; 67.70628, 580723; 68.05018, 34682772; 73.07665, 5319894; 74.06062, 731437; 79.27121, 688177; 83.36036, 538298; 84.04499, 1864726; 97.07648, 273940096; 97.12601, 574332; 101.07137, 21882138; 102.05536, 1008050; 106.78948, 513691; 107.88731, 503689; 110.54173, 502436; 115.95794, 549490; 125.07108, 1162066; 143.08153, 157052144"
"Ectoine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",100,"56.05024, 34423728; 56.62684, 576388; 58.5127, 641175; 68.05018, 215221664; 68.07924, 681711; 68.81977, 619020; 73.07677, 987642; 76.58281, 761046; 76.75981, 651815; 80.28386, 627664; 83.06099, 4809554; 84.04493, 1014558; 97.07649, 82085992; 98.08439, 3408618; 101.07148, 988884; 107.25793, 569331; 124.03633, 535895; 140.19102, 610783; 143.0535, 558189; 143.08167, 1684966; 144.13695, 622152; 147.84375, 550510; 153.05627, 526786; 155.69397, 575736; 163.03671, 648568; 163.65344, 724870"
"Ectoine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",20,"53.67169, 456774; 56.05025, 1601990; 56.24956, 617593; 59.0171, 515376; 64.61906, 533146; 68.05013, 4833696; 73.07665, 2382821; 86.5463, 501984; 92.58177, 569289; 97.07647, 119428976; 101.06749, 937494; 101.07133, 16251819; 102.05508, 866010; 103.31702, 521064; 104.26297, 575164; 135.28836, 523696; 143.0815, 252939040; 144.53973, 662034; 149.06599, 588845"
"Ectoine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",35,"56.05029, 1555195; 57.38596, 679692; 59.84042, 642930; 59.84191, 589422; 62.60539, 607172; 65.41129, 756824; 68.05016, 5870270; 72.50764, 622056; 73.07672, 2538391; 78.32629, 600039; 97.07648, 125027744; 98.1899, 621888; 101.07137, 18019500; 102.05526, 1359107; 110.95219, 649625; 112.04986, 623721; 143.08153, 236786768; 146.38506, 720217; 164.35304, 645339"
"Ectoine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",50,"56.05025, 11739895; 62.23591, 604207; 62.64629, 570104; 68.05017, 37334560; 68.38877, 788243; 68.45187, 565931; 72.84746, 588538; 73.07666, 5132885; 78.05988, 579895; 80.35624, 635618; 84.04494, 1598832; 97.07648, 262154752; 101.0714, 22648228; 101.07423, 348123; 102.05544, 1688613; 106.21577, 629489; 112.68402, 649791; 120.0202, 626793; 125.07092, 1139843; 143.08153, 142486224; 157.27678, 639769"
"Ectoine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",100,"56.05024, 26418772; 68.05017, 159664352; 70.83219, 524381; 73.0768, 698794; 80.05019, 650998; 82.16741, 613573; 83.06088, 3127366; 83.63179, 495267; 97.07648, 57060216; 98.08437, 2287182; 114.16042, 584934; 123.1652, 469847; 128.56697, 554900; 130.1599, 518548; 137.69304, 532676; 141.10678, 611564; 147.30115, 538994"
"Ergothioneine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",20,"51.60839, 3151; 60.08157, 46560; 60.16973, 3294; 63.17398, 3009; 67.89715, 4238; 71.75871, 4061; 77.31248, 4140; 79.24519, 3585; 86.11658, 3345; 88.0302, 3742; 91.88737, 3326; 93.22955, 3589; 93.44469, 4026; 101.32146, 3373; 107.7671, 3479; 108.24917, 3604; 108.53732, 3456; 125.49693, 4026; 125.62737, 3417; 127.03273, 96570; 135.72714, 3244; 135.81189, 3916; 186.10609, 278736; 212.0853, 4358; 217.30608, 6107; 217.31493, 6410; 217.32335, 7156; 218.22319, 33463; 218.23782, 13668; 230.09586, 242230; 230.14018, 45419; 230.24815, 32849; 55.93042, 4734; 60.08157, 315695; 60.6795, 4786; 60.69827, 4701; 61.85723, 4284; 63.98611, 4882; 68.76875, 4598; 73.18154, 5572; 84.92118, 4844; 104.62923, 5170; 127.0327, 561522; 146.17833, 5561; 151.30486, 4647; 171.02251, 14379; 186.10606, 1756071; 191.24353, 4966; 212.08559, 8368; 218.21739, 20174; 218.23279, 42481; 230.09584, 1556424; 230.13913, 39182; 230.24799, 35972; 246.58345, 5909"
"Ergothioneine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",35,"60.08157, 123037; 63.30596, 3588; 63.44627, 3389; 69.05807, 5702; 72.36012, 3686; 73.70377, 3490; 86.00664, 7583; 100.02183, 4024; 126.74097, 3357; 127.03271, 457968; 136.76375, 3765; 137.7049, 3216; 143.02744, 9025; 144.55405, 4004; 145.71806, 3720; 171.02248, 7595; 186.10612, 183869; 188.7368, 3736; 227.68663, 5328; 227.69945, 4749; 230.09558, 29230; 230.13998, 34457; 230.24809, 21657; 248.04803, 3928; 60.08158, 483347; 68.05026, 12481; 69.05804, 21178; 74.06314, 4502; 78.36211, 4143; 83.21364, 4161; 84.28259, 4193; 86.00658, 29137; 89.23427, 4137; 94.05341, 4809; 96.14274, 4578; 97.22115, 4806; 100.0221, 32126; 116.72939, 4379; 117.85787, 4376; 120.61604, 4032; 124.25862, 4943; 124.63696, 3966; 126.95793, 5358; 127.03271, 1819138; 134.1676, 4197; 143.0275, 23065; 153.01215, 5133; 171.02251, 24403; 186.10611, 720788; 197.06177, 8429; 198.4489, 4946; 227.67744, 9600; 230.09583, 121711; 230.11545, 7832; 230.14005, 31544; 230.24823, 26361"
"Ergothioneine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",50,"53.25967, 3530; 58.22414, 3735; 58.99575, 4006; 60.08157, 102578; 62.08747, 3268; 67.04235, 6841; 67.63662, 3309; 68.05024, 32471; 69.05803, 46278; 76.63049, 3786; 82.86034, 3138; 83.06106, 4121; 86.00653, 20464; 94.05322, 5058; 100.02206, 42144; 108.77406, 3709; 108.95317, 3115; 116.99272, 3586; 124.08747, 3912; 127.03269, 519382; 130.68507, 3735; 143.02757, 14354; 144.81461, 3660; 148.08722, 8354; 148.8336, 4290; 153.01181, 4649; 186.10619, 20255; 197.3394, 3858; 200.00119, 4125; 201.69887, 4030; 227.67912, 3564; 227.69273, 6452; 230.14035, 12086; 52.05264, 3824; 56.93528, 3799; 57.37942, 4106; 57.58372, 3705; 58.99577, 16481; 60.08158, 369937; 62.41626, 3853; 62.6624, 4543; 63.9818, 4640; 67.0425, 20415; 68.05026, 113279; 69.05805, 162150; 76.83482, 4358; 77.42582, 3527; 81.01343, 4104; 83.061, 14837; 85.0115, 4392; 86.00656, 62624; 87.80506, 3878; 94.05304, 16169; 95.06089, 4370; 96.95158, 4142; 100.02209, 129863; 111.05554, 6278; 124.0872, 7325; 127.0327, 1700318; 129.01245, 7456; 137.14534, 4021; 143.02756, 39878; 153.01181, 13074; 154.00981, 4282; 171.02246, 10911; 178.03635, 4826; 186.10628, 60974; 197.06218, 8407; 199.3533, 5141; 227.67934, 9731; 230.14017, 19318"
"Ergothioneine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",100,"54.03463, 4921; 56.05029, 8443; 56.54893, 3151; 58.06596, 4822; 59.9911, 5575; 60.08154, 23636; 60.12895, 3193; 63.57912, 3164; 65.44153, 3133; 65.82517, 2991; 66.03461, 4907; 67.04239, 31142; 68.05024, 42404; 69.05801, 50867; 70.48584, 3437; 70.5873, 3202; 72.24216, 3951; 74.37852, 3327; 75.58298, 3155; 83.06102, 6752; 93.04537, 8430; 94.05309, 15349; 95.06104, 3728; 100.02211, 14911; 115.03302, 4693; 127.0328, 13211; 135.65485, 3541; 147.29495, 3277; 151.83292, 3573; 152.78494, 3820; 172.48415, 3425; 173.86279, 3475; 227.67874, 10153; 53.00302, 10191; 54.03468, 29963; 56.05031, 49947; 57.05803, 7385; 58.06598, 28701; 58.99578, 37247; 59.99107, 47741; 60.0816, 162159; 60.08336, 7972; 66.03461, 11699; 67.04243, 231114; 68.05025, 275640; 69.05807, 354558; 70.76382, 5116; 71.99102, 9834; 73.01121, 8295; 74.00661, 6414; 79.87747, 4585; 82.05322, 10210; 83.06112, 40047; 83.99084, 5144; 85.01127, 5291; 86.00661, 21277; 93.04523, 27081; 94.05312, 87163; 95.06088, 22307; 98.00661, 5825; 100.01859, 8030; 100.02212, 92722; 100.19334, 4173; 101.0173, 5037; 108.10648, 4259; 110.00605, 4148; 111.05576, 6733; 113.01756, 4810; 113.67033, 4849; 114.02512, 32256; 115.03294, 13561; 127.03275, 69574; 129.01204, 10607; 129.95244, 5154; 137.53505, 3996; 138.57487, 4323; 143.02798, 5536; 147.82048, 4859; 227.67567, 9199"
