Compound.Name,Level,Classification
Glycerophosphoric_acid,level 6,Glycerophosphates
Glycerophosphoric_acid,level 7,Glycerophosphates
Glycerophosphoric_acid,level 8,Glycerophosphates
Glycerophosphocholine,kingdom,Organic_compounds
Glycerophosphocholine,superclass,Lipids_and_lipid-like_molecules
Glycerophosphocholine,class,Glycerophospholipids
Glycerophosphocholine,subclass,Glycerophosphocholines
Glycerophosphocholine,level 5,Glycerophosphocholines
Glycerophosphocholine,level 6,Glycerophosphocholines
Glycerophosphocholine,level 7,Glycerophosphocholines
Glycerophosphocholine,level 8,Glycerophosphocholines
Glycine,kingdom,Organic_compounds
Glycine,superclass,Organic_acids_and_derivatives
Glycine,class,Carboxylic_acids_and_derivatives
Glycine,subclass,Amino_acids_peptides_and_analogues
Glycine,level 5,Amino_acids_and_derivatives
Glycine,level 6,Alpha_amino_acids_and_derivatives
Glycine,level 7,Alpha_amino_acids
Glycine,level 8,Alpha_amino_acids
Guanosine_monophosphate,kingdom,Organic_compounds
Guanosine_monophosphate,superclass,Nucleosides_nucleotides_and_analogues
Guanosine_monophosphate,class,Purine_nucleotides
Guanosine_monophosphate,subclass,Purine_ribonucleotides
Guanosine_monophosphate,level 5,Purine_ribonucleoside_monophosphates
Guanosine_monophosphate,level 6,Purine_ribonucleoside_monophosphates
Guanosine_monophosphate,level 7,Purine_ribonucleoside_monophosphates
Guanosine_monophosphate,level 8,Purine_ribonucleoside_monophosphates
Guanosine_triphosphate,kingdom,Organic_compounds
Guanosine_triphosphate,superclass,Nucleosides_nucleotides_and_analogues
Guanosine_triphosphate,class,Purine_nucleotides
Guanosine_triphosphate,subclass,Purine_ribonucleotides
Guanosine_triphosphate,level 5,Purine_ribonucleoside_triphosphates
Guanosine_triphosphate,level 6,Purine_ribonucleoside_triphosphates
Guanosine_triphosphate,level 7,Purine_ribonucleoside_triphosphates
Guanosine_triphosphate,level 8,Purine_ribonucleoside_triphosphates
Guanine,kingdom,Organic_compounds
Guanine,superclass,Organoheterocyclic_compounds
Guanine,class,Imidazopyrimidines
Guanine,subclass,Purines_and_purine_derivatives
Guanine,level 5,Purines_and_purine_derivatives
Guanine,level 6,Purines_and_purine_derivatives
Guanine,level 7,Purines_and_purine_derivatives
Guanine,level 8,Purines_and_purine_derivatives
Guanosine,kingdom,Organic_compounds
Guanosine,superclass,Nucleosides_nucleotides_and_analogues
Guanosine,class,Purine_nucleosides
Guanosine,subclass,Purine_nucleosides
Guanosine,level 5,Purine_nucleosides
Guanosine,level 6,Purine_nucleosides
Guanosine,level 7,Purine_nucleosides
Guanosine,level 8,Purine_nucleosides
L-Histidine,kingdom,Organic_compounds
L-Histidine,superclass,Organic_acids_and_derivatives
L-Histidine,class,Carboxylic_acids_and_derivatives
L-Histidine,subclass,Amino_acids_peptides_and_analogues
L-Histidine,level 5,Amino_acids_and_derivatives
L-Histidine,level 6,Alpha_amino_acids_and_derivatives
L-Histidine,level 7,Histidine_and_derivatives
L-Histidine,level 8,Histidine_and_derivatives
Homarine,kingdom,Organic_compounds
Homarine,superclass,Organoheterocyclic_compounds
Homarine,class,Pyridines_and_derivatives
Homarine,subclass,Pyridinecarboxylic_acids_and_derivatives
Homarine,level 5,Pyridinecarboxylic_acids
Homarine,level 6,Pyridinecarboxylic_acids
Homarine,level 7,Pyridinecarboxylic_acids
Homarine,level 8,Pyridinecarboxylic_acids
Homocysteine_thiolactone,kingdom,Organic_compounds
Homocysteine_thiolactone,superclass,Organic_acids_and_derivatives
Homocysteine_thiolactone,class,Carboxylic_acids_and_derivatives
Homocysteine_thiolactone,subclass,Amino_acids_peptides_and_analogues
Homocysteine_thiolactone,level 5,Amino_acids_and_derivatives
Homocysteine_thiolactone,level 6,Alpha_amino_acids_and_derivatives
Homocysteine_thiolactone,level 7,Alpha_amino_acids_and_derivatives
Homocysteine_thiolactone,level 8,Alpha_amino_acids_and_derivatives
L-Homocystine,kingdom,Organic_compounds
L-Homocystine,superclass,Organic_acids_and_derivatives
L-Homocystine,class,Carboxylic_acids_and_derivatives
L-Homocystine,subclass,Amino_acids_peptides_and_analogues
L-Homocystine,level 5,Amino_acids_and_derivatives
L-Homocystine,level 6,Alpha_amino_acids_and_derivatives
L-Homocystine,level 7,Alpha_amino_acids
L-Homocystine,level 8,L-alpha-amino_acids
L-Homoserine,kingdom,Organic_compounds
L-Homoserine,superclass,Organic_acids_and_derivatives
L-Homoserine,class,Carboxylic_acids_and_derivatives
L-Homoserine,subclass,Amino_acids_peptides_and_analogues
L-Homoserine,level 5,Amino_acids_and_derivatives
L-Homoserine,level 6,Alpha_amino_acids_and_derivatives
L-Homoserine,level 7,Alpha_amino_acids
L-Homoserine,level 8,L-alpha-amino_acids
S-3-Hydroxybutyryl-CoA,kingdom,Organic_compounds
S-3-Hydroxybutyryl-CoA,superclass,Lipids_and_lipid-like_molecules
S-3-Hydroxybutyryl-CoA,class,Fatty_Acyls
S-3-Hydroxybutyryl-CoA,subclass,Fatty_acyl_thioesters
S-3-Hydroxybutyryl-CoA,level 5,Acyl_CoAs
S-3-Hydroxybutyryl-CoA,level 6,3-hydroxyacyl_CoAs
S-3-Hydroxybutyryl-CoA,level 7,(S)-3-hydroxyacyl_CoAs
S-3-Hydroxybutyryl-CoA,level 8,(S)-3-hydroxyacyl_CoAs
L-Hydroxylysine,kingdom,Organic_compounds
L-Hydroxylysine,superclass,Organic_acids_and_derivatives
L-Hydroxylysine,class,Carboxylic_acids_and_derivatives
L-Hydroxylysine,subclass,Amino_acids_peptides_and_analogues
L-Hydroxylysine,level 5,Amino_acids_and_derivatives
L-Hydroxylysine,level 6,Alpha_amino_acids_and_derivatives
L-Hydroxylysine,level 7,Alpha_amino_acids
L-Hydroxylysine,level 8,L-alpha-amino_acids
Hypotaurine,kingdom,Organic_compounds
Hypotaurine,superclass,Organic_acids_and_derivatives
Hypotaurine,class,Sulfinic_acids_and_derivatives
Hypotaurine,subclass,Sulfinic_acids
Hypotaurine,level 5,Sulfinic_acids
Hypotaurine,level 6,Sulfinic_acids
Hypotaurine,level 7,Sulfinic_acids
Hypotaurine,level 8,Sulfinic_acids
Indole-3-carbinol,kingdom,Organic_compounds
Indole-3-carbinol,superclass,Organoheterocyclic_compounds
Indole-3-carbinol,class,Indoles_and_derivatives
Indole-3-carbinol,subclass,Indoles
Indole-3-carbinol,level 5,3-alkylindoles
Indole-3-carbinol,level 6,3-alkylindoles
Indole-3-carbinol,level 7,3-alkylindoles
Indole-3-carbinol,level 8,3-alkylindoles
Indolepyruvic_acid,kingdom,Organic_compounds
Indolepyruvic_acid,superclass,Organoheterocyclic_compounds
Indolepyruvic_acid,class,Indoles_and_derivatives
Indolepyruvic_acid,subclass,Indolyl_carboxylic_acids_and_derivatives
Indolepyruvic_acid,level 5,Indolyl_carboxylic_acids_and_derivatives
Indolepyruvic_acid,level 6,Indolyl_carboxylic_acids_and_derivatives
Indolepyruvic_acid,level 7,Indolyl_carboxylic_acids_and_derivatives
Indolepyruvic_acid,level 8,Indolyl_carboxylic_acids_and_derivatives
Isethionic_acid,kingdom,Organic_compounds
Isethionic_acid,superclass,Organic_acids_and_derivatives
Isethionic_acid,class,Organic_sulfonic_acids_and_derivatives
Isethionic_acid,subclass,Organosulfonic_acids_and_derivatives
Isethionic_acid,level 5,Organosulfonic_acids
Isethionic_acid,level 6,Organosulfonic_acids
Isethionic_acid,level 7,Organosulfonic_acids
Isethionic_acid,level 8,Organosulfonic_acids
Isocitric_acid,kingdom,Organic_compounds
Isocitric_acid,superclass,Organic_acids_and_derivatives
Isocitric_acid,class,Carboxylic_acids_and_derivatives
Isocitric_acid,subclass,Tricarboxylic_acids_and_derivatives
Isocitric_acid,level 5,Tricarboxylic_acids_and_derivatives
Isocitric_acid,level 6,Tricarboxylic_acids_and_derivatives
Isocitric_acid,level 7,Tricarboxylic_acids_and_derivatives
Isocitric_acid,level 8,Tricarboxylic_acids_and_derivatives
L-Isoleucine,kingdom,Organic_compounds
L-Isoleucine,superclass,Organic_acids_and_derivatives
L-Isoleucine,class,Carboxylic_acids_and_derivatives
L-Isoleucine,subclass,Amino_acids_peptides_and_analogues
L-Isoleucine,level 5,Amino_acids_and_derivatives
L-Isoleucine,level 6,Alpha_amino_acids_and_derivatives
L-Isoleucine,level 7,Isoleucine_and_derivatives
L-Isoleucine,level 8,Isoleucine_and_derivatives
2-keto-4-methylthiobutyric_acid,kingdom,Organic_compounds
2-keto-4-methylthiobutyric_acid,superclass,Lipids_and_lipid-like_molecules
2-keto-4-methylthiobutyric_acid,class,Fatty_Acyls
2-keto-4-methylthiobutyric_acid,subclass,Fatty_acids_and_conjugates
2-keto-4-methylthiobutyric_acid,level 5,Thia_fatty_acids
2-keto-4-methylthiobutyric_acid,level 6,Thia_fatty_acids
2-keto-4-methylthiobutyric_acid,level 7,Thia_fatty_acids
2-keto-4-methylthiobutyric_acid,level 8,Thia_fatty_acids
2-Ketoglutaric_acid,kingdom,Organic_compounds
2-Ketoglutaric_acid,superclass,Organic_acids_and_derivatives
2-Ketoglutaric_acid,class,Keto_acids_and_derivatives
2-Ketoglutaric_acid,subclass,Gamma-keto_acids_and_derivatives
2-Ketoglutaric_acid,level 5,Gamma-keto_acids_and_derivatives
2-Ketoglutaric_acid,level 6,Gamma-keto_acids_and_derivatives
2-Ketoglutaric_acid,level 7,Gamma-keto_acids_and_derivatives
2-Ketoglutaric_acid,level 8,Gamma-keto_acids_and_derivatives
L-Kynurenine,kingdom,Organic_compounds
L-Kynurenine,superclass,Organic_oxygen_compounds
L-Kynurenine,class,Organooxygen_compounds
L-Kynurenine,subclass,Carbonyl_compounds
L-Kynurenine,level 5,Ketones
L-Kynurenine,level 6,Aryl_ketones
L-Kynurenine,level 7,Phenylketones
L-Kynurenine,level 8,Alkyl-phenylketones
L-Leucine,kingdom,Organic_compounds
L-Leucine,superclass,Organic_acids_and_derivatives
L-Leucine,class,Carboxylic_acids_and_derivatives
L-Leucine,subclass,Amino_acids_peptides_and_analogues
L-Leucine,level 5,Amino_acids_and_derivatives
L-Leucine,level 6,Alpha_amino_acids_and_derivatives
L-Leucine,level 7,Leucine_and_derivatives
L-Leucine,level 8,Leucine_and_derivatives
L-Homocysteine,kingdom,Organic_compounds
L-Homocysteine,superclass,Organic_acids_and_derivatives
L-Homocysteine,class,Carboxylic_acids_and_derivatives
L-Homocysteine,subclass,Amino_acids_peptides_and_analogues
L-Homocysteine,level 5,Amino_acids_and_derivatives
L-Homocysteine,level 6,Alpha_amino_acids_and_derivatives
L-Homocysteine,level 7,Alpha_amino_acids
L-Homocysteine,level 8,L-alpha-amino_acids
Lipoic_acid,kingdom,Organic_compounds
Lipoic_acid,superclass,Organoheterocyclic_compounds
Lipoic_acid,class,Dithiolanes
Lipoic_acid,subclass,Lipoic_acids_and_derivatives
Lipoic_acid,level 5,Lipoic_acids_and_derivatives
Lipoic_acid,level 6,Lipoic_acids_and_derivatives
Lipoic_acid,level 7,Lipoic_acids_and_derivatives
Lipoic_acid,level 8,Lipoic_acids_and_derivatives
5-Oxoproline,kingdom,Organic_compounds
5-Oxoproline,superclass,Organic_acids_and_derivatives
5-Oxoproline,class,Carboxylic_acids_and_derivatives
5-Oxoproline,subclass,Amino_acids_peptides_and_analogues
5-Oxoproline,level 5,Amino_acids_and_derivatives
5-Oxoproline,level 6,Alpha_amino_acids_and_derivatives
5-Oxoproline,level 7,Alpha_amino_acids_and_derivatives
5-Oxoproline,level 8,Alpha_amino_acids_and_derivatives
L-Lysine,kingdom,Organic_compounds
L-Lysine,superclass,Organic_acids_and_derivatives
L-Lysine,class,Carboxylic_acids_and_derivatives
L-Lysine,subclass,Amino_acids_peptides_and_analogues
L-Lysine,level 5,Amino_acids_and_derivatives
L-Lysine,level 6,Alpha_amino_acids_and_derivatives
L-Lysine,level 7,Alpha_amino_acids
L-Lysine,level 8,L-alpha-amino_acids
Malic_acid,kingdom,Organic_compounds
Malic_acid,superclass,Organic_acids_and_derivatives
Malic_acid,class,Hydroxy_acids_and_derivatives
Malic_acid,subclass,Beta_hydroxy_acids_and_derivatives
Malic_acid,level 5,Beta_hydroxy_acids_and_derivatives
Malic_acid,level 6,Beta_hydroxy_acids_and_derivatives
Malic_acid,level 7,Beta_hydroxy_acids_and_derivatives
Malic_acid,level 8,Beta_hydroxy_acids_and_derivatives
Malonyl-CoA,kingdom,Organic_compounds
Malonyl-CoA,superclass,Lipids_and_lipid-like_molecules
Malonyl-CoA,class,Fatty_Acyls
Malonyl-CoA,subclass,Fatty_acyl_thioesters
Malonyl-CoA,level 5,Acyl_CoAs
Malonyl-CoA,level 6,Acyl_CoAs
Malonyl-CoA,level 7,Acyl_CoAs
Malonyl-CoA,level 8,Acyl_CoAs
Maltotetraose,kingdom,Organic_compounds
Maltotetraose,superclass,Organic_oxygen_compounds
Maltotetraose,class,Organooxygen_compounds
Maltotetraose,subclass,Carbohydrates_and_carbohydrate_conjugates
Maltotetraose,level 5,Oligosaccharides
Maltotetraose,level 6,Oligosaccharides
Maltotetraose,level 7,Oligosaccharides
Maltotetraose,level 8,Oligosaccharides
Maltotriose,kingdom,Organic_compounds
Maltotriose,superclass,Organic_oxygen_compounds
Maltotriose,class,Organooxygen_compounds
Maltotriose,subclass,Carbohydrates_and_carbohydrate_conjugates
Maltotriose,level 5,Oligosaccharides
Maltotriose,level 6,Oligosaccharides
Maltotriose,level 7,Oligosaccharides
Maltotriose,level 8,Oligosaccharides
Sodium_2-mercaptoethanesulfonate,kingdom,Organic_compounds
Sodium_2-mercaptoethanesulfonate,superclass,Organic_acids_and_derivatives
Sodium_2-mercaptoethanesulfonate,class,Organic_sulfonic_acids_and_derivatives
Sodium_2-mercaptoethanesulfonate,subclass,Organosulfonic_acids_and_derivatives
Sodium_2-mercaptoethanesulfonate,level 5,Organosulfonic_acids
Sodium_2-mercaptoethanesulfonate,level 6,Organosulfonic_acids
Sodium_2-mercaptoethanesulfonate,level 7,Organosulfonic_acids
Sodium_2-mercaptoethanesulfonate,level 8,Organosulfonic_acids
L-Methionine,kingdom,Organic_compounds
L-Methionine,superclass,Organic_acids_and_derivatives
L-Methionine,class,Carboxylic_acids_and_derivatives
L-Methionine,subclass,Amino_acids_peptides_and_analogues
L-Methionine,level 5,Amino_acids_and_derivatives
L-Methionine,level 6,Alpha_amino_acids_and_derivatives
L-Methionine,level 7,Methionine_and_derivatives
L-Methionine,level 8,Methionine_and_derivatives
L-Methionine_S-oxide,kingdom,Organic_compounds
L-Methionine_S-oxide,superclass,Organic_acids_and_derivatives
L-Methionine_S-oxide,class,Carboxylic_acids_and_derivatives
L-Methionine_S-oxide,subclass,Amino_acids_peptides_and_analogues
L-Methionine_S-oxide,level 5,Amino_acids_and_derivatives
L-Methionine_S-oxide,level 6,Alpha_amino_acids_and_derivatives
L-Methionine_S-oxide,level 7,Alpha_amino_acids
L-Methionine_S-oxide,level 8,L-alpha-amino_acids
D-Methylmalonyl-CoA,kingdom,Organic_compounds
D-Methylmalonyl-CoA,superclass,Lipids_and_lipid-like_molecules
D-Methylmalonyl-CoA,class,Fatty_Acyls
D-Methylmalonyl-CoA,subclass,Fatty_acyl_thioesters
D-Methylmalonyl-CoA,level 5,Acyl_CoAs
D-Methylmalonyl-CoA,level 6,Acyl_CoAs
D-Methylmalonyl-CoA,level 7,Acyl_CoAs
D-Methylmalonyl-CoA,level 8,Acyl_CoAs
Methylphosphonic_acid,kingdom,Organic_compounds
Methylphosphonic_acid,superclass,Organic_acids_and_derivatives
Methylphosphonic_acid,class,Organic_phosphonic_acids_and_derivatives
Methylphosphonic_acid,subclass,Organic_phosphonic_acids
Methylphosphonic_acid,level 5,Organic_phosphonic_acids
Methylphosphonic_acid,level 6,Organic_phosphonic_acids
Methylphosphonic_acid,level 7,Organic_phosphonic_acids
Methylphosphonic_acid,level 8,Organic_phosphonic_acids
Muramic_acid,kingdom,Organic_compounds
Muramic_acid,superclass,Organic_oxygen_compounds
Muramic_acid,class,Organooxygen_compounds
Muramic_acid,subclass,Carbohydrates_and_carbohydrate_conjugates
Muramic_acid,level 5,Sugar_acids_and_derivatives
Muramic_acid,level 6,Sugar_acids_and_derivatives
Muramic_acid,level 7,Sugar_acids_and_derivatives
Muramic_acid,level 8,Sugar_acids_and_derivatives
N6-Acetyl-L-lysine,kingdom,Organic_compounds
N6-Acetyl-L-lysine,superclass,Organic_acids_and_derivatives
N6-Acetyl-L-lysine,class,Carboxylic_acids_and_derivatives
N6-Acetyl-L-lysine,subclass,Amino_acids_peptides_and_analogues
N6-Acetyl-L-lysine,level 5,Amino_acids_and_derivatives
N6-Acetyl-L-lysine,level 6,Alpha_amino_acids_and_derivatives
N6-Acetyl-L-lysine,level 7,Alpha_amino_acids
N6-Acetyl-L-lysine,level 8,L-alpha-amino_acids
O-Acetyl-L-serine,kingdom,Organic_compounds
O-Acetyl-L-serine,superclass,Organic_acids_and_derivatives
O-Acetyl-L-serine,class,Carboxylic_acids_and_derivatives
O-Acetyl-L-serine,subclass,Amino_acids_peptides_and_analogues
O-Acetyl-L-serine,level 5,Amino_acids_and_derivatives
O-Acetyl-L-serine,level 6,Alpha_amino_acids_and_derivatives
O-Acetyl-L-serine,level 7,Alpha_amino_acids
O-Acetyl-L-serine,level 8,L-alpha-amino_acids
N-Acetyltaurine,kingdom,Organic_compounds
N-Acetyltaurine,superclass,Organic_acids_and_derivatives
N-Acetyltaurine,class,Organic_sulfonic_acids_and_derivatives
N-Acetyltaurine,subclass,Organosulfonic_acids_and_derivatives
N-Acetyltaurine,level 5,Organosulfonic_acids
N-Acetyltaurine,level 6,Organosulfonic_acids
N-Acetyltaurine,level 7,Organosulfonic_acids
N-Acetyltaurine,level 8,Organosulfonic_acids
NAD,kingdom,Organic_compounds
NAD,superclass,Nucleosides_nucleotides_and_analogues
NAD,class,(5->5)-dinucleotides
NAD,subclass,(5->5)-dinucleotides
NAD,level 5,(5->5)-dinucleotides
NAD,level 6,(5->5)-dinucleotides
NAD,level 7,(5->5)-dinucleotides
NAD,level 8,(5->5)-dinucleotides
NADH,kingdom,Organic_compounds
NADH,superclass,Nucleosides_nucleotides_and_analogues
NADH,class,(5->5)-dinucleotides
NADH,subclass,(5->5)-dinucleotides
NADH,level 5,(5->5)-dinucleotides
NADH,level 6,(5->5)-dinucleotides
NADH,level 7,(5->5)-dinucleotides
NADH,level 8,(5->5)-dinucleotides
NADP,kingdom,Organic_compounds
NADP,superclass,Nucleosides_nucleotides_and_analogues
NADP,class,(5->5)-dinucleotides
NADP,subclass,(5->5)-dinucleotides
NADP,level 5,(5->5)-dinucleotides
NADP,level 6,(5->5)-dinucleotides
NADP,level 7,(5->5)-dinucleotides
NADP,level 8,(5->5)-dinucleotides
NADPH,kingdom,Organic_compounds
NADPH,superclass,Nucleosides_nucleotides_and_analogues
NADPH,class,(5->5)-dinucleotides
NADPH,subclass,(5->5)-dinucleotides
NADPH,level 5,(5->5)-dinucleotides
NADPH,level 6,(5->5)-dinucleotides
NADPH,level 7,(5->5)-dinucleotides
NADPH,level 8,(5->5)-dinucleotides
N-Methyltaurine,kingdom,Organic_compounds
N-Methyltaurine,superclass,Organic_acids_and_derivatives
N-Methyltaurine,class,Organic_sulfonic_acids_and_derivatives
N-Methyltaurine,subclass,Organosulfonic_acids_and_derivatives
N-Methyltaurine,level 5,Organosulfonic_acids
N-Methyltaurine,level 6,Organosulfonic_acids
N-Methyltaurine,level 7,Organosulfonic_acids
N-Methyltaurine,level 8,Organosulfonic_acids
Ophthalmic_acid,kingdom,Organic_compounds
Ophthalmic_acid,superclass,Organic_acids_and_derivatives
Ophthalmic_acid,class,Carboxylic_acids_and_derivatives
Ophthalmic_acid,subclass,Amino_acids_peptides_and_analogues
Ophthalmic_acid,level 5,Peptides
Ophthalmic_acid,level 6,Oligopeptides
Ophthalmic_acid,level 7,Oligopeptides
Ophthalmic_acid,level 8,Oligopeptides
L-Ornithine,kingdom,Organic_compounds
L-Ornithine,superclass,Organic_acids_and_derivatives
L-Ornithine,class,Carboxylic_acids_and_derivatives
L-Ornithine,subclass,Amino_acids_peptides_and_analogues
L-Ornithine,level 5,Amino_acids_and_derivatives
L-Ornithine,level 6,Alpha_amino_acids_and_derivatives
L-Ornithine,level 7,Alpha_amino_acids
L-Ornithine,level 8,L-alpha-amino_acids
Orotic_acid,kingdom,Organic_compounds
Orotic_acid,superclass,Organoheterocyclic_compounds
Orotic_acid,class,Diazines
Orotic_acid,subclass,Pyrimidines_and_pyrimidine_derivatives
Orotic_acid,level 5,Pyrimidinecarboxylic_acids_and_derivatives
Orotic_acid,level 6,Pyrimidinecarboxylic_acids
Orotic_acid,level 7,Pyrimidinecarboxylic_acids
Orotic_acid,level 8,Pyrimidinecarboxylic_acids
Oxalic_acid,kingdom,Organic_compounds
Oxalic_acid,superclass,Organic_acids_and_derivatives
Oxalic_acid,class,Carboxylic_acids_and_derivatives
Oxalic_acid,subclass,Dicarboxylic_acids_and_derivatives
Oxalic_acid,level 5,Dicarboxylic_acids_and_derivatives
Oxalic_acid,level 6,Dicarboxylic_acids_and_derivatives
Oxalic_acid,level 7,Dicarboxylic_acids_and_derivatives
Oxalic_acid,level 8,Dicarboxylic_acids_and_derivatives
Phosphoenolpyruvic_acid,kingdom,Organic_compounds
Phosphoenolpyruvic_acid,superclass,Organic_acids_and_derivatives
Phosphoenolpyruvic_acid,class,Organic_phosphoric_acids_and_derivatives
Phosphoenolpyruvic_acid,subclass,Phosphate_esters
Phosphoenolpyruvic_acid,level 5,Phosphate_esters
Phosphoenolpyruvic_acid,level 6,Phosphate_esters
Phosphoenolpyruvic_acid,level 7,Phosphate_esters
Phosphoenolpyruvic_acid,level 8,Phosphate_esters
3-Phosphoglycerate,kingdom,Organic_compounds
3-Phosphoglycerate,superclass,Organic_oxygen_compounds
3-Phosphoglycerate,class,Organooxygen_compounds
3-Phosphoglycerate,subclass,Carbohydrates_and_carbohydrate_conjugates
3-Phosphoglycerate,level 5,Sugar_acids_and_derivatives
3-Phosphoglycerate,level 6,Sugar_acids_and_derivatives
3-Phosphoglycerate,level 7,Sugar_acids_and_derivatives
3-Phosphoglycerate,level 8,Sugar_acids_and_derivatives
2-Heptyl-3-hydroxy-quinolone,kingdom,Organic_compounds
2-Heptyl-3-hydroxy-quinolone,superclass,Organoheterocyclic_compounds
2-Heptyl-3-hydroxy-quinolone,class,Quinolines_and_derivatives
2-Heptyl-3-hydroxy-quinolone,subclass,Quinolones_and_derivatives
2-Heptyl-3-hydroxy-quinolone,level 5,Hydroxyquinolones
2-Heptyl-3-hydroxy-quinolone,level 6,Hydroxyquinolones
2-Heptyl-3-hydroxy-quinolone,level 7,Hydroxyquinolones
2-Heptyl-3-hydroxy-quinolone,level 8,Hydroxyquinolones
L-Proline,kingdom,Organic_compounds
L-Proline,superclass,Organic_acids_and_derivatives
L-Proline,class,Carboxylic_acids_and_derivatives
L-Proline,subclass,Amino_acids_peptides_and_analogues
L-Proline,level 5,Amino_acids_and_derivatives
L-Proline,level 6,Alpha_amino_acids_and_derivatives
L-Proline,level 7,Proline_and_derivatives
L-Proline,level 8,Proline_and_derivatives
1-Propanesulfonate,kingdom,Organic_compounds
1-Propanesulfonate,superclass,Organic_acids_and_derivatives
1-Propanesulfonate,class,Organic_sulfonic_acids_and_derivatives
1-Propanesulfonate,subclass,Organosulfonic_acids_and_derivatives
1-Propanesulfonate,level 5,Organosulfonic_acids
1-Propanesulfonate,level 6,Organosulfonic_acids
1-Propanesulfonate,level 7,Organosulfonic_acids
1-Propanesulfonate,level 8,Organosulfonic_acids
Propanoyl-CoA,kingdom,Organic_compounds
Propanoyl-CoA,superclass,Lipids_and_lipid-like_molecules
Propanoyl-CoA,class,Fatty_Acyls
Propanoyl-CoA,subclass,Fatty_acyl_thioesters
Propanoyl-CoA,level 5,Acyl_CoAs
Propanoyl-CoA,level 6,Acyl_CoAs
Propanoyl-CoA,level 7,Acyl_CoAs
Propanoyl-CoA,level 8,Acyl_CoAs
O-Propionylcarnitine,kingdom,Organic_compounds
O-Propionylcarnitine,superclass,Lipids_and_lipid-like_molecules
O-Propionylcarnitine,class,Fatty_Acyls
O-Propionylcarnitine,subclass,Fatty_acid_esters
O-Propionylcarnitine,level 5,Acyl_carnitines
O-Propionylcarnitine,level 6,Acyl_carnitines
O-Propionylcarnitine,level 7,Acyl_carnitines
O-Propionylcarnitine,level 8,Acyl_carnitines
25-Dihydroxybenzoic_acid,kingdom,Organic_compounds
25-Dihydroxybenzoic_acid,superclass,Benzenoids
25-Dihydroxybenzoic_acid,class,Benzene_and_substituted_derivatives
25-Dihydroxybenzoic_acid,subclass,Benzoic_acids_and_derivatives
25-Dihydroxybenzoic_acid,level 5,Hydroxybenzoic_acid_derivatives
25-Dihydroxybenzoic_acid,level 6,Hydroxybenzoic_acid_derivatives
25-Dihydroxybenzoic_acid,level 7,Hydroxybenzoic_acid_derivatives
25-Dihydroxybenzoic_acid,level 8,Hydroxybenzoic_acid_derivatives
Riboflavin-5-phosphate,kingdom,Organic_compounds
Riboflavin-5-phosphate,superclass,Nucleosides_nucleotides_and_analogues
Riboflavin-5-phosphate,class,Flavin_nucleotides
Riboflavin-5-phosphate,subclass,Flavin_nucleotides
Riboflavin-5-phosphate,level 5,Flavin_nucleotides
Riboflavin-5-phosphate,level 6,Flavin_nucleotides
Riboflavin-5-phosphate,level 7,Flavin_nucleotides
Riboflavin-5-phosphate,level 8,Flavin_nucleotides
D-Ribose_5-phosphate,kingdom,Organic_compounds
D-Ribose_5-phosphate,superclass,Organic_oxygen_compounds
D-Ribose_5-phosphate,class,Organooxygen_compounds
D-Ribose_5-phosphate,subclass,Carbohydrates_and_carbohydrate_conjugates
D-Ribose_5-phosphate,level 5,Monosaccharides
D-Ribose_5-phosphate,level 6,Pentoses
D-Ribose_5-phosphate,level 7,Pentose_phosphates
D-Ribose_5-phosphate,level 8,Pentose_phosphates
Salicylic_acid,kingdom,Organic_compounds
Salicylic_acid,superclass,Benzenoids
Salicylic_acid,class,Benzene_and_substituted_derivatives
Salicylic_acid,subclass,Benzoic_acids_and_derivatives
Salicylic_acid,level 5,Hydroxybenzoic_acid_derivatives
Salicylic_acid,level 6,Salicylic_acid_and_derivatives
Salicylic_acid,level 7,Salicylic_acids
Salicylic_acid,level 8,Salicylic_acids
Sarcosine,kingdom,Organic_compounds
Sarcosine,superclass,Organic_acids_and_derivatives
Sarcosine,class,Carboxylic_acids_and_derivatives
Sarcosine,subclass,Amino_acids_peptides_and_analogues
Sarcosine,level 5,Amino_acids_and_derivatives
Sarcosine,level 6,Alpha_amino_acids_and_derivatives
Sarcosine,level 7,Alpha_amino_acids
Sarcosine,level 8,Alpha_amino_acids
L-Serine,kingdom,Organic_compounds
L-Serine,superclass,Organic_acids_and_derivatives
L-Serine,class,Carboxylic_acids_and_derivatives
L-Serine,subclass,Amino_acids_peptides_and_analogues
L-Serine,level 5,Amino_acids_and_derivatives
L-Serine,level 6,Alpha_amino_acids_and_derivatives
L-Serine,level 7,Serine_and_derivatives
L-Serine,level 8,Serine_and_derivatives
S-Farnesyl-L-cysteine_methyl_ester,kingdom,Organic_compounds
S-Farnesyl-L-cysteine_methyl_ester,superclass,Lipids_and_lipid-like_molecules
S-Farnesyl-L-cysteine_methyl_ester,class,Prenol_lipids
S-Farnesyl-L-cysteine_methyl_ester,subclass,Sesquiterpenoids
S-Farnesyl-L-cysteine_methyl_ester,level 5,Sesquiterpenoids
S-Farnesyl-L-cysteine_methyl_ester,level 6,Sesquiterpenoids
S-Farnesyl-L-cysteine_methyl_ester,level 7,Sesquiterpenoids
S-Farnesyl-L-cysteine_methyl_ester,level 8,Sesquiterpenoids
Shikimic_acid,kingdom,Organic_compounds
